Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,BullGraph.col,1,0.0011792206764221192,0.12091803550720215,125.0,125.0,4,0.11691184043884277,125.0
baseline,BullGraph.col,2,0.0011383557319641113,0.11592984199523926,125.0,125.0,4,0.11691184043884277,125.0
baseline,BullGraph.col,3,0.001098940372467041,0.11486029624938965,125.0,125.0,4,0.11691184043884277,125.0
baseline,BullGraph.col,4,0.0011080384254455566,0.11280441284179688,125.0,125.0,4,0.11691184043884277,125.0
baseline,BullGraph.col,5,0.0011689400672912598,0.12051272392272949,125.0,125.0,4,0.11691184043884277,125.0
baseline,BullGraph.col,6,0.0011197447776794434,0.11397409439086914,125.0,125.0,4,0.11691184043884277,125.0
baseline,BullGraph.col,7,0.0011194372177124024,0.1149759292602539,125.0,125.0,4,0.11691184043884277,125.0
baseline,BullGraph.col,8,0.0011767244338989258,0.11967182159423828,125.0,125.0,4,0.11691184043884277,125.0
baseline,BullGraph.col,9,0.0010851621627807617,0.11354517936706543,125.0,125.0,4,0.11691184043884277,125.0
baseline,BullGraph.col,10,0.0011988472938537597,0.12192606925964355,125.0,125.0,4,0.11691184043884277,125.0
