Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,CubeGraph.col,1,0.0014788389205932617,0.15499329566955566,200.0,200.0,4,0.15762128829956054,190.66666666666669
baseline,CubeGraph.col,2,0.0014713287353515625,0.15212726593017578,160.0,160.0,5,0.15762128829956054,190.66666666666669
baseline,CubeGraph.col,3,0.0015660524368286133,0.16116595268249512,200.0,200.0,4,0.15762128829956054,190.66666666666669
baseline,CubeGraph.col,4,0.0017069149017333984,0.17668843269348145,266.6666666666667,266.6666666666667,3,0.15762128829956054,190.66666666666669
baseline,CubeGraph.col,5,0.0015050005912780762,0.15549707412719727,160.0,160.0,5,0.15762128829956054,190.66666666666669
baseline,CubeGraph.col,6,0.001434018611907959,0.14940714836120605,200.0,200.0,4,0.15762128829956054,190.66666666666669
baseline,CubeGraph.col,7,0.001498873233795166,0.1538863182067871,200.0,200.0,4,0.15762128829956054,190.66666666666669
baseline,CubeGraph.col,8,0.0016427040100097656,0.17127108573913574,200.0,200.0,4,0.15762128829956054,190.66666666666669
baseline,CubeGraph.col,9,0.0015493965148925782,0.15894484519958496,160.0,160.0,5,0.15762128829956054,190.66666666666669
baseline,CubeGraph.col,10,0.0013624286651611327,0.14223146438598633,160.0,160.0,5,0.15762128829956054,190.66666666666669
