Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,Cycle3.col,1,0.0009066987037658691,0.09366774559020996,150.0,150.0,2,0.09577405452728271,150.0
baseline,Cycle3.col,2,0.0008925342559814453,0.09317898750305176,150.0,150.0,2,0.09577405452728271,150.0
baseline,Cycle3.col,3,0.0009707760810852051,0.0990757942199707,150.0,150.0,2,0.09577405452728271,150.0
baseline,Cycle3.col,4,0.0009231281280517578,0.09630942344665527,150.0,150.0,2,0.09577405452728271,150.0
baseline,Cycle3.col,5,0.0009112405776977539,0.0941762924194336,150.0,150.0,2,0.09577405452728271,150.0
baseline,Cycle3.col,6,0.0009176039695739746,0.09375882148742676,150.0,150.0,2,0.09577405452728271,150.0
baseline,Cycle3.col,7,0.0009711623191833496,0.10010361671447754,150.0,150.0,2,0.09577405452728271,150.0
baseline,Cycle3.col,8,0.0009477400779724121,0.09677743911743164,150.0,150.0,2,0.09577405452728271,150.0
baseline,Cycle3.col,9,0.000914154052734375,0.09344840049743652,150.0,150.0,2,0.09577405452728271,150.0
baseline,Cycle3.col,10,0.000952444076538086,0.0972440242767334,150.0,150.0,2,0.09577405452728271,150.0
