Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,DiamondGraph.col,1,0.0010542416572570802,0.10746121406555176,200.0,200.0,2,0.10511200428009033,186.66666666666669
baseline,DiamondGraph.col,2,0.0010313606262207032,0.10509395599365234,133.33333333333334,133.33333333333334,3,0.10511200428009033,186.66666666666669
baseline,DiamondGraph.col,3,0.0009680819511413574,0.10081052780151367,200.0,200.0,2,0.10511200428009033,186.66666666666669
baseline,DiamondGraph.col,4,0.000995934009552002,0.10359430313110352,200.0,200.0,2,0.10511200428009033,186.66666666666669
baseline,DiamondGraph.col,5,0.001057744026184082,0.10829019546508789,200.0,200.0,2,0.10511200428009033,186.66666666666669
baseline,DiamondGraph.col,6,0.0010230731964111328,0.10530662536621094,200.0,200.0,2,0.10511200428009033,186.66666666666669
baseline,DiamondGraph.col,7,0.0009800934791564942,0.10100674629211426,200.0,200.0,2,0.10511200428009033,186.66666666666669
baseline,DiamondGraph.col,8,0.0010363245010375976,0.10663938522338867,133.33333333333334,133.33333333333334,3,0.10511200428009033,186.66666666666669
baseline,DiamondGraph.col,9,0.0010272598266601563,0.10572648048400879,200.0,200.0,2,0.10511200428009033,186.66666666666669
baseline,DiamondGraph.col,10,0.0010318803787231446,0.10719060897827148,200.0,200.0,2,0.10511200428009033,186.66666666666669
