Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,GrötzschGraph.col,1,0.0022770023345947267,0.23869872093200684,157.14285714285714,157.14285714285714,7,0.23279957771301268,181.76190476190476
baseline,GrötzschGraph.col,2,0.002042956352233887,0.2142946720123291,183.33333333333334,183.33333333333334,6,0.23279957771301268,181.76190476190476
baseline,GrötzschGraph.col,3,0.0020035648345947264,0.20935773849487305,183.33333333333334,183.33333333333334,6,0.23279957771301268,181.76190476190476
baseline,GrötzschGraph.col,4,0.0026707935333251955,0.27611589431762695,183.33333333333334,183.33333333333334,6,0.23279957771301268,181.76190476190476
baseline,GrötzschGraph.col,5,0.0025203990936279296,0.2616267204284668,183.33333333333334,183.33333333333334,6,0.23279957771301268,181.76190476190476
baseline,GrötzschGraph.col,6,0.0025030970573425293,0.260272741317749,220.0,220.0,5,0.23279957771301268,181.76190476190476
baseline,GrötzschGraph.col,7,0.002050900459289551,0.2166581153869629,183.33333333333334,183.33333333333334,6,0.23279957771301268,181.76190476190476
baseline,GrötzschGraph.col,8,0.0020933985710144044,0.21934008598327637,183.33333333333334,183.33333333333334,6,0.23279957771301268,181.76190476190476
baseline,GrötzschGraph.col,9,0.0020075368881225584,0.2087540626525879,183.33333333333334,183.33333333333334,6,0.23279957771301268,181.76190476190476
baseline,GrötzschGraph.col,10,0.002110896110534668,0.22287702560424805,157.14285714285714,157.14285714285714,7,0.23279957771301268,181.76190476190476
