Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,LetterB.col,1,0.0013693070411682129,0.1399517059326172,200.0,200.0,3,0.15508971214294434,220.0
baseline,LetterB.col,2,0.0013816976547241211,0.144148588180542,200.0,200.0,3,0.15508971214294434,220.0
baseline,LetterB.col,3,0.0013800597190856934,0.1410057544708252,300.0,300.0,2,0.15508971214294434,220.0
baseline,LetterB.col,4,0.00144944429397583,0.1469411849975586,200.0,200.0,3,0.15508971214294434,220.0
baseline,LetterB.col,5,0.001332254409790039,0.13720488548278809,200.0,200.0,3,0.15508971214294434,220.0
baseline,LetterB.col,6,0.001425457000732422,0.14651989936828613,300.0,300.0,2,0.15508971214294434,220.0
baseline,LetterB.col,7,0.001280050277709961,0.1300051212310791,200.0,200.0,3,0.15508971214294434,220.0
baseline,LetterB.col,8,0.002319145202636719,0.2379162311553955,200.0,200.0,3,0.15508971214294434,220.0
baseline,LetterB.col,9,0.001663970947265625,0.17139720916748047,200.0,200.0,3,0.15508971214294434,220.0
baseline,LetterB.col,10,0.0014980649948120118,0.1558065414428711,200.0,200.0,3,0.15508971214294434,220.0
