Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,LetterC.col,1,0.0011179590225219728,0.11383175849914551,200.0,200.0,2,0.11509053707122803,200.0
baseline,LetterC.col,2,0.0010462760925292968,0.1055908203125,200.0,200.0,2,0.11509053707122803,200.0
baseline,LetterC.col,3,0.001298990249633789,0.13193392753601074,200.0,200.0,2,0.11509053707122803,200.0
baseline,LetterC.col,4,0.0011199140548706055,0.11558699607849121,200.0,200.0,2,0.11509053707122803,200.0
baseline,LetterC.col,5,0.0011224937438964844,0.11324906349182129,200.0,200.0,2,0.11509053707122803,200.0
baseline,LetterC.col,6,0.001109147071838379,0.11191773414611816,200.0,200.0,2,0.11509053707122803,200.0
baseline,LetterC.col,7,0.0011811447143554687,0.1211235523223877,200.0,200.0,2,0.11509053707122803,200.0
baseline,LetterC.col,8,0.0010747504234313965,0.1100168228149414,200.0,200.0,2,0.11509053707122803,200.0
baseline,LetterC.col,9,0.0010431766510009765,0.1053018569946289,200.0,200.0,2,0.11509053707122803,200.0
baseline,LetterC.col,10,0.0011984515190124512,0.12235283851623535,200.0,200.0,2,0.11509053707122803,200.0
