Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,LetterD.col,1,0.0011104416847229003,0.1140756607055664,200.0,200.0,2,0.1120488166809082,200.0
baseline,LetterD.col,2,0.001073009967803955,0.10930132865905762,200.0,200.0,2,0.1120488166809082,200.0
baseline,LetterD.col,3,0.0011711454391479493,0.12011456489562988,200.0,200.0,2,0.1120488166809082,200.0
baseline,LetterD.col,4,0.0010497927665710448,0.10993456840515137,200.0,200.0,2,0.1120488166809082,200.0
baseline,LetterD.col,5,0.0011226773262023927,0.1152644157409668,200.0,200.0,2,0.1120488166809082,200.0
baseline,LetterD.col,6,0.0011076927185058594,0.11479520797729492,200.0,200.0,2,0.1120488166809082,200.0
baseline,LetterD.col,7,0.0010512351989746093,0.10834836959838867,200.0,200.0,2,0.1120488166809082,200.0
baseline,LetterD.col,8,0.0010924601554870605,0.11124396324157715,200.0,200.0,2,0.1120488166809082,200.0
baseline,LetterD.col,9,0.0010895323753356933,0.10995078086853027,200.0,200.0,2,0.1120488166809082,200.0
baseline,LetterD.col,10,0.0010324692726135253,0.10745930671691895,200.0,200.0,2,0.1120488166809082,200.0
