Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,LetterE.col,1,0.0013003587722778321,0.13412022590637207,300.0,300.0,2,0.13215744495391846,250.0
baseline,LetterE.col,2,0.0012874436378479005,0.13175296783447266,300.0,300.0,2,0.13215744495391846,250.0
baseline,LetterE.col,3,0.0012748694419860839,0.13045191764831543,200.0,200.0,3,0.13215744495391846,250.0
baseline,LetterE.col,4,0.0013854146003723145,0.1425473690032959,300.0,300.0,2,0.13215744495391846,250.0
baseline,LetterE.col,5,0.0013479638099670411,0.13880467414855957,300.0,300.0,2,0.13215744495391846,250.0
baseline,LetterE.col,6,0.001309359073638916,0.1329355239868164,200.0,200.0,3,0.13215744495391846,250.0
baseline,LetterE.col,7,0.001328129768371582,0.13381457328796387,200.0,200.0,3,0.13215744495391846,250.0
baseline,LetterE.col,8,0.0012293910980224608,0.12493371963500977,300.0,300.0,2,0.13215744495391846,250.0
baseline,LetterE.col,9,0.001178295612335205,0.11979079246520996,200.0,200.0,3,0.13215744495391846,250.0
baseline,LetterE.col,10,0.0013042354583740234,0.13242268562316895,200.0,200.0,3,0.13215744495391846,250.0
