Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,LetterF.col,1,0.0011430859565734863,0.11533522605895996,250.0,250.0,2,0.1187544584274292,241.66666666666666
baseline,LetterF.col,2,0.0010979771614074707,0.11279940605163574,166.66666666666666,166.66666666666666,3,0.1187544584274292,241.66666666666666
baseline,LetterF.col,3,0.001198422908782959,0.1218414306640625,250.0,250.0,2,0.1187544584274292,241.66666666666666
baseline,LetterF.col,4,0.0011721515655517577,0.11821389198303223,250.0,250.0,2,0.1187544584274292,241.66666666666666
baseline,LetterF.col,5,0.0011705493927001954,0.11905431747436523,250.0,250.0,2,0.1187544584274292,241.66666666666666
baseline,LetterF.col,6,0.0012285900115966797,0.12585806846618652,250.0,250.0,2,0.1187544584274292,241.66666666666666
baseline,LetterF.col,7,0.0011928319931030274,0.12228631973266602,250.0,250.0,2,0.1187544584274292,241.66666666666666
baseline,LetterF.col,8,0.0011626076698303222,0.11826181411743164,250.0,250.0,2,0.1187544584274292,241.66666666666666
baseline,LetterF.col,9,0.001143796443939209,0.11637282371520996,250.0,250.0,2,0.1187544584274292,241.66666666666666
baseline,LetterF.col,10,0.0011455678939819335,0.11752128601074219,250.0,250.0,2,0.1187544584274292,241.66666666666666
