Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,Octahedron.col,1,0.0014822626113891603,0.15823030471801758,200.0,200.0,3,0.15912966728210448,200.0
baseline,Octahedron.col,2,0.001488656997680664,0.15486502647399902,200.0,200.0,3,0.15912966728210448,200.0
baseline,Octahedron.col,3,0.001483442783355713,0.15734195709228516,200.0,200.0,3,0.15912966728210448,200.0
baseline,Octahedron.col,4,0.0014439773559570311,0.15543532371520996,200.0,200.0,3,0.15912966728210448,200.0
baseline,Octahedron.col,5,0.0015421366691589355,0.1652088165283203,200.0,200.0,3,0.15912966728210448,200.0
baseline,Octahedron.col,6,0.001421806812286377,0.14973211288452148,200.0,200.0,3,0.15912966728210448,200.0
baseline,Octahedron.col,7,0.0016300153732299804,0.17000174522399902,200.0,200.0,3,0.15912966728210448,200.0
baseline,Octahedron.col,8,0.0015010619163513183,0.15810465812683105,200.0,200.0,3,0.15912966728210448,200.0
baseline,Octahedron.col,9,0.0014987897872924805,0.1598682403564453,200.0,200.0,3,0.15912966728210448,200.0
baseline,Octahedron.col,10,0.001555042266845703,0.16250848770141602,200.0,200.0,3,0.15912966728210448,200.0
