Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,PetersenGraph.col,1,0.0016819119453430175,0.1771538257598877,200.0,200.0,5,0.1840824604034424,183.33333333333331
baseline,PetersenGraph.col,2,0.0016396474838256837,0.16996097564697266,166.66666666666666,166.66666666666666,6,0.1840824604034424,183.33333333333331
baseline,PetersenGraph.col,3,0.0018260979652404785,0.1912245750427246,200.0,200.0,5,0.1840824604034424,183.33333333333331
baseline,PetersenGraph.col,4,0.0019591093063354493,0.20191049575805664,166.66666666666666,166.66666666666666,6,0.1840824604034424,183.33333333333331
baseline,PetersenGraph.col,5,0.0018142008781433106,0.18742156028747559,166.66666666666666,166.66666666666666,6,0.1840824604034424,183.33333333333331
baseline,PetersenGraph.col,6,0.001739940643310547,0.18000292778015137,166.66666666666666,166.66666666666666,6,0.1840824604034424,183.33333333333331
baseline,PetersenGraph.col,7,0.001622300148010254,0.167741060256958,200.0,200.0,5,0.1840824604034424,183.33333333333331
baseline,PetersenGraph.col,8,0.0019127273559570313,0.19730496406555176,200.0,200.0,5,0.1840824604034424,183.33333333333331
baseline,PetersenGraph.col,9,0.0017557692527770995,0.18257808685302734,166.66666666666666,166.66666666666666,6,0.1840824604034424,183.33333333333331
baseline,PetersenGraph.col,10,0.0017952609062194824,0.18552613258361816,200.0,200.0,5,0.1840824604034424,183.33333333333331
