Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,Square.col,1,0.001062774658203125,0.10927915573120117,200.0,200.0,2,0.12638211250305176,200.0
baseline,Square.col,2,0.0010724878311157227,0.10924935340881348,200.0,200.0,2,0.12638211250305176,200.0
baseline,Square.col,3,0.0011227750778198243,0.11527442932128906,200.0,200.0,2,0.12638211250305176,200.0
baseline,Square.col,4,0.0011788606643676758,0.12189507484436035,200.0,200.0,2,0.12638211250305176,200.0
baseline,Square.col,5,0.0011510086059570313,0.12014603614807129,200.0,200.0,2,0.12638211250305176,200.0
baseline,Square.col,6,0.0011644387245178223,0.11948084831237793,200.0,200.0,2,0.12638211250305176,200.0
baseline,Square.col,7,0.0010967826843261718,0.11067843437194824,200.0,200.0,2,0.12638211250305176,200.0
baseline,Square.col,8,0.001362602710723877,0.13925933837890625,200.0,200.0,2,0.12638211250305176,200.0
baseline,Square.col,9,0.0017537307739257813,0.18239712715148926,200.0,200.0,2,0.12638211250305176,200.0
baseline,Square.col,10,0.001351625919342041,0.13616132736206055,200.0,200.0,2,0.12638211250305176,200.0
