Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,Triangle.col,1,0.0009554362297058105,0.09962153434753418,150.0,150.0,2,0.09985496997833251,150.0
baseline,Triangle.col,2,0.0010470056533813477,0.10871577262878418,150.0,150.0,2,0.09985496997833251,150.0
baseline,Triangle.col,3,0.0010382413864135742,0.10482120513916016,150.0,150.0,2,0.09985496997833251,150.0
baseline,Triangle.col,4,0.0009576678276062012,0.09876871109008789,150.0,150.0,2,0.09985496997833251,150.0
baseline,Triangle.col,5,0.0009362936019897461,0.09462952613830566,150.0,150.0,2,0.09985496997833251,150.0
baseline,Triangle.col,6,0.0010180354118347168,0.10480713844299316,150.0,150.0,2,0.09985496997833251,150.0
baseline,Triangle.col,7,0.0009358954429626464,0.09558916091918945,150.0,150.0,2,0.09985496997833251,150.0
baseline,Triangle.col,8,0.000883023738861084,0.09234070777893066,150.0,150.0,2,0.09985496997833251,150.0
baseline,Triangle.col,9,0.0009749031066894531,0.09902024269104004,150.0,150.0,2,0.09985496997833251,150.0
baseline,Triangle.col,10,0.0009821462631225586,0.1002357006072998,150.0,150.0,2,0.09985496997833251,150.0
