Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,BullGraph.col,1,0.0012016010284423828,0.12320137023925781,125.0,125.0,4,0.1231832504272461,125.0
baseline,BullGraph.col,2,0.0011351752281188966,0.11652231216430664,125.0,125.0,4,0.1231832504272461,125.0
baseline,BullGraph.col,3,0.0012087631225585938,0.12387728691101074,125.0,125.0,4,0.1231832504272461,125.0
baseline,BullGraph.col,4,0.0013285064697265625,0.13484978675842285,125.0,125.0,4,0.1231832504272461,125.0
baseline,BullGraph.col,5,0.0011766958236694336,0.1202387809753418,125.0,125.0,4,0.1231832504272461,125.0
baseline,BullGraph.col,6,0.0012532520294189454,0.1273212432861328,125.0,125.0,4,0.1231832504272461,125.0
baseline,BullGraph.col,7,0.001145930290222168,0.11759185791015625,125.0,125.0,4,0.1231832504272461,125.0
baseline,BullGraph.col,8,0.001232764720916748,0.1252748966217041,125.0,125.0,4,0.1231832504272461,125.0
baseline,BullGraph.col,9,0.001217970848083496,0.12679576873779297,125.0,125.0,4,0.1231832504272461,125.0
baseline,BullGraph.col,10,0.0011319160461425782,0.11615920066833496,125.0,125.0,4,0.1231832504272461,125.0
