Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,CubeGraph.col,1,0.0013892769813537598,0.14386582374572754,160.0,160.0,5,0.1558581829071045,172.0
baseline,CubeGraph.col,2,0.0014803957939147948,0.15500187873840332,160.0,160.0,5,0.1558581829071045,172.0
baseline,CubeGraph.col,3,0.0014812135696411132,0.15367817878723145,160.0,160.0,5,0.1558581829071045,172.0
baseline,CubeGraph.col,4,0.0016712069511413575,0.17311978340148926,200.0,200.0,4,0.1558581829071045,172.0
baseline,CubeGraph.col,5,0.0013628673553466796,0.14332151412963867,160.0,160.0,5,0.1558581829071045,172.0
baseline,CubeGraph.col,6,0.0014362025260925293,0.14862060546875,160.0,160.0,5,0.1558581829071045,172.0
baseline,CubeGraph.col,7,0.0015717053413391113,0.16468071937561035,160.0,160.0,5,0.1558581829071045,172.0
baseline,CubeGraph.col,8,0.0016266512870788574,0.1676652431488037,200.0,200.0,4,0.1558581829071045,172.0
baseline,CubeGraph.col,9,0.0015326380729675294,0.15827178955078125,160.0,160.0,5,0.1558581829071045,172.0
baseline,CubeGraph.col,10,0.0014533019065856934,0.15035629272460938,200.0,200.0,4,0.1558581829071045,172.0
