Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,Cycle4.col,1,0.0010916471481323242,0.11215925216674805,200.0,200.0,2,0.11210668087005615,200.0
baseline,Cycle4.col,2,0.0010755181312561036,0.1105499267578125,200.0,200.0,2,0.11210668087005615,200.0
baseline,Cycle4.col,3,0.0011114764213562011,0.11214828491210938,200.0,200.0,2,0.11210668087005615,200.0
baseline,Cycle4.col,4,0.001067042350769043,0.11170411109924316,200.0,200.0,2,0.11210668087005615,200.0
baseline,Cycle4.col,5,0.0010860300064086915,0.11059737205505371,200.0,200.0,2,0.11210668087005615,200.0
baseline,Cycle4.col,6,0.0010379624366760253,0.10679936408996582,200.0,200.0,2,0.11210668087005615,200.0
baseline,Cycle4.col,7,0.0011417365074157715,0.11817812919616699,200.0,200.0,2,0.11210668087005615,200.0
baseline,Cycle4.col,8,0.001126258373260498,0.11562395095825195,200.0,200.0,2,0.11210668087005615,200.0
baseline,Cycle4.col,9,0.001030740737915039,0.10675644874572754,200.0,200.0,2,0.11210668087005615,200.0
baseline,Cycle4.col,10,0.0011454129219055176,0.11654996871948242,200.0,200.0,2,0.11210668087005615,200.0
