Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,DiamondGraph.col,1,0.0010610222816467285,0.10908317565917969,200.0,200.0,2,0.10894162654876709,200.0
baseline,DiamondGraph.col,2,0.0011215877532958984,0.11512088775634766,200.0,200.0,2,0.10894162654876709,200.0
baseline,DiamondGraph.col,3,0.0010356688499450683,0.10556840896606445,200.0,200.0,2,0.10894162654876709,200.0
baseline,DiamondGraph.col,4,0.0010261201858520507,0.10460186004638672,200.0,200.0,2,0.10894162654876709,200.0
baseline,DiamondGraph.col,5,0.0011021924018859864,0.11320376396179199,200.0,200.0,2,0.10894162654876709,200.0
baseline,DiamondGraph.col,6,0.0009961748123168946,0.10262084007263184,200.0,200.0,2,0.10894162654876709,200.0
baseline,DiamondGraph.col,7,0.0010214972496032715,0.10717511177062988,200.0,200.0,2,0.10894162654876709,200.0
baseline,DiamondGraph.col,8,0.0011051106452941895,0.11447429656982422,200.0,200.0,2,0.10894162654876709,200.0
baseline,DiamondGraph.col,9,0.0010442805290222167,0.1074988842010498,200.0,200.0,2,0.10894162654876709,200.0
baseline,DiamondGraph.col,10,0.0010710549354553222,0.11006903648376465,200.0,200.0,2,0.10894162654876709,200.0
