Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,GrötzschGraph.col,1,0.002176840305328369,0.2266860008239746,183.33333333333334,183.33333333333334,6,0.23541698455810547,184.38095238095235
baseline,GrötzschGraph.col,2,0.002207510471343994,0.2307577133178711,183.33333333333334,183.33333333333334,6,0.23541698455810547,184.38095238095235
baseline,GrötzschGraph.col,3,0.0021335411071777342,0.22533869743347168,157.14285714285714,157.14285714285714,7,0.23541698455810547,184.38095238095235
baseline,GrötzschGraph.col,4,0.002634744644165039,0.27347421646118164,220.0,220.0,5,0.23541698455810547,184.38095238095235
baseline,GrötzschGraph.col,5,0.002236521244049072,0.23365092277526855,183.33333333333334,183.33333333333334,6,0.23541698455810547,184.38095238095235
baseline,GrötzschGraph.col,6,0.002103562355041504,0.21996760368347168,183.33333333333334,183.33333333333334,6,0.23541698455810547,184.38095238095235
baseline,GrötzschGraph.col,7,0.002185490131378174,0.2315211296081543,183.33333333333334,183.33333333333334,6,0.23541698455810547,184.38095238095235
baseline,GrötzschGraph.col,8,0.0022878646850585938,0.23931312561035156,183.33333333333334,183.33333333333334,6,0.23541698455810547,184.38095238095235
baseline,GrötzschGraph.col,9,0.0023076367378234864,0.23976492881774902,183.33333333333334,183.33333333333334,6,0.23541698455810547,184.38095238095235
baseline,GrötzschGraph.col,10,0.0022327399253845217,0.23369550704956055,183.33333333333334,183.33333333333334,6,0.23541698455810547,184.38095238095235
