Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,LetterB.col,1,0.0015383100509643555,0.15782737731933594,200.0,200.0,3,0.14203119277954102,260.0
baseline,LetterB.col,2,0.0013474225997924805,0.13876557350158691,300.0,300.0,2,0.14203119277954102,260.0
baseline,LetterB.col,3,0.0013005471229553223,0.1330556869506836,200.0,200.0,3,0.14203119277954102,260.0
baseline,LetterB.col,4,0.001432499885559082,0.14624762535095215,300.0,300.0,2,0.14203119277954102,260.0
baseline,LetterB.col,5,0.001341698169708252,0.13713383674621582,300.0,300.0,2,0.14203119277954102,260.0
baseline,LetterB.col,6,0.0014613986015319825,0.14810752868652344,200.0,200.0,3,0.14203119277954102,260.0
baseline,LetterB.col,7,0.0013187432289123535,0.13543391227722168,300.0,300.0,2,0.14203119277954102,260.0
baseline,LetterB.col,8,0.001412196159362793,0.14421796798706055,200.0,200.0,3,0.14203119277954102,260.0
baseline,LetterB.col,9,0.0013759589195251464,0.14159464836120605,300.0,300.0,2,0.14203119277954102,260.0
baseline,LetterB.col,10,0.0013593173027038575,0.13792777061462402,300.0,300.0,2,0.14203119277954102,260.0
