Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,LetterC.col,1,0.001066887378692627,0.10767960548400879,200.0,200.0,2,0.10993001461029053,200.0
baseline,LetterC.col,2,0.0010710740089416504,0.11011123657226562,200.0,200.0,2,0.10993001461029053,200.0
baseline,LetterC.col,3,0.001054537296295166,0.10645198822021484,200.0,200.0,2,0.10993001461029053,200.0
baseline,LetterC.col,4,0.001212921142578125,0.12229132652282715,200.0,200.0,2,0.10993001461029053,200.0
baseline,LetterC.col,5,0.0010838699340820312,0.11096382141113281,200.0,200.0,2,0.10993001461029053,200.0
baseline,LetterC.col,6,0.0010363245010375976,0.10562491416931152,200.0,200.0,2,0.10993001461029053,200.0
baseline,LetterC.col,7,0.0011250734329223632,0.11450886726379395,200.0,200.0,2,0.10993001461029053,200.0
baseline,LetterC.col,8,0.0010418462753295898,0.10518455505371094,200.0,200.0,2,0.10993001461029053,200.0
baseline,LetterC.col,9,0.0010518360137939454,0.10618329048156738,200.0,200.0,2,0.10993001461029053,200.0
baseline,LetterC.col,10,0.0010829997062683106,0.11030054092407227,200.0,200.0,2,0.10993001461029053,200.0
