Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,LetterD.col,1,0.0011433839797973632,0.11687994003295898,200.0,200.0,2,0.1408757448196411,200.0
baseline,LetterD.col,2,0.0010962796211242676,0.11162590980529785,200.0,200.0,2,0.1408757448196411,200.0
baseline,LetterD.col,3,0.0011015820503234863,0.11215829849243164,200.0,200.0,2,0.1408757448196411,200.0
baseline,LetterD.col,4,0.002064261436462402,0.20948386192321777,200.0,200.0,2,0.1408757448196411,200.0
baseline,LetterD.col,5,0.002452099323272705,0.2492048740386963,200.0,200.0,2,0.1408757448196411,200.0
baseline,LetterD.col,6,0.0015312862396240235,0.1611328125,200.0,200.0,2,0.1408757448196411,200.0
baseline,LetterD.col,7,0.001147606372833252,0.11683225631713867,200.0,200.0,2,0.1408757448196411,200.0
baseline,LetterD.col,8,0.0010270214080810548,0.10770440101623535,200.0,200.0,2,0.1408757448196411,200.0
baseline,LetterD.col,9,0.0010458970069885255,0.10760021209716797,200.0,200.0,2,0.1408757448196411,200.0
baseline,LetterD.col,10,0.0011409902572631836,0.1161348819732666,200.0,200.0,2,0.1408757448196411,200.0
