Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,LetterE.col,1,0.001345067024230957,0.13756275177001953,200.0,200.0,3,0.13593266010284424,250.0
baseline,LetterE.col,2,0.0013531780242919923,0.13828206062316895,200.0,200.0,3,0.13593266010284424,250.0
baseline,LetterE.col,3,0.0013462948799133302,0.13815522193908691,300.0,300.0,2,0.13593266010284424,250.0
baseline,LetterE.col,4,0.001270284652709961,0.13007187843322754,300.0,300.0,2,0.13593266010284424,250.0
baseline,LetterE.col,5,0.0013113689422607421,0.13421845436096191,300.0,300.0,2,0.13593266010284424,250.0
baseline,LetterE.col,6,0.0012855887413024901,0.13253116607666016,200.0,200.0,3,0.13593266010284424,250.0
baseline,LetterE.col,7,0.0013702392578125,0.13902688026428223,200.0,200.0,3,0.13593266010284424,250.0
baseline,LetterE.col,8,0.001328268051147461,0.13582801818847656,200.0,200.0,3,0.13593266010284424,250.0
baseline,LetterE.col,9,0.00131516695022583,0.13451409339904785,300.0,300.0,2,0.13593266010284424,250.0
baseline,LetterE.col,10,0.0013713645935058594,0.13913607597351074,300.0,300.0,2,0.13593266010284424,250.0
