Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,LetterF.col,1,0.0012045884132385254,0.12350201606750488,250.0,250.0,2,0.12358980178833008,233.33333333333331
baseline,LetterF.col,2,0.001127769947052002,0.11577653884887695,166.66666666666666,166.66666666666666,3,0.12358980178833008,233.33333333333331
baseline,LetterF.col,3,0.0012613224983215332,0.1301424503326416,250.0,250.0,2,0.12358980178833008,233.33333333333331
baseline,LetterF.col,4,0.001225574016571045,0.1245567798614502,250.0,250.0,2,0.12358980178833008,233.33333333333331
baseline,LetterF.col,5,0.0011825942993164062,0.12026000022888184,250.0,250.0,2,0.12358980178833008,233.33333333333331
baseline,LetterF.col,6,0.0012642788887023927,0.12795639038085938,166.66666666666666,166.66666666666666,3,0.12358980178833008,233.33333333333331
baseline,LetterF.col,7,0.0011719751358032226,0.12019824981689453,250.0,250.0,2,0.12358980178833008,233.33333333333331
baseline,LetterF.col,8,0.001191837787628174,0.12118268013000488,250.0,250.0,2,0.12358980178833008,233.33333333333331
baseline,LetterF.col,9,0.0012659144401550293,0.12859129905700684,250.0,250.0,2,0.12358980178833008,233.33333333333331
baseline,LetterF.col,10,0.0012173175811767579,0.12373161315917969,250.0,250.0,2,0.12358980178833008,233.33333333333331
