Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,MoserSpindle.col,1,0.0019132304191589356,0.19932198524475098,175.0,175.0,4,0.19873311519622802,198.33333333333331
baseline,MoserSpindle.col,2,0.00213228702545166,0.21923136711120605,233.33333333333334,233.33333333333334,3,0.19873311519622802,198.33333333333331
baseline,MoserSpindle.col,3,0.0027172064781188967,0.2859318256378174,233.33333333333334,233.33333333333334,3,0.19873311519622802,198.33333333333331
baseline,MoserSpindle.col,4,0.0020575165748596192,0.21626520156860352,233.33333333333334,233.33333333333334,3,0.19873311519622802,198.33333333333331
baseline,MoserSpindle.col,5,0.0016154003143310546,0.16756367683410645,175.0,175.0,4,0.19873311519622802,198.33333333333331
baseline,MoserSpindle.col,6,0.0016964149475097656,0.17461585998535156,175.0,175.0,4,0.19873311519622802,198.33333333333331
baseline,MoserSpindle.col,7,0.0016222691535949707,0.17222857475280762,175.0,175.0,4,0.19873311519622802,198.33333333333331
baseline,MoserSpindle.col,8,0.0013036298751831054,0.1353461742401123,233.33333333333334,233.33333333333334,3,0.19873311519622802,198.33333333333331
baseline,MoserSpindle.col,9,0.00173858642578125,0.18036890029907227,175.0,175.0,4,0.19873311519622802,198.33333333333331
baseline,MoserSpindle.col,10,0.002217304706573486,0.23645758628845215,175.0,175.0,4,0.19873311519622802,198.33333333333331
