Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,Octahedron.col,1,0.0020880341529846192,0.21680116653442383,200.0,200.0,3,0.18442339897155763,200.0
baseline,Octahedron.col,2,0.002008845806121826,0.2118825912475586,200.0,200.0,3,0.18442339897155763,200.0
baseline,Octahedron.col,3,0.002033495903015137,0.2213573455810547,200.0,200.0,3,0.18442339897155763,200.0
baseline,Octahedron.col,4,0.0015548443794250488,0.1657545566558838,200.0,200.0,3,0.18442339897155763,200.0
baseline,Octahedron.col,5,0.001457188129425049,0.1537165641784668,200.0,200.0,3,0.18442339897155763,200.0
baseline,Octahedron.col,6,0.0014935922622680664,0.1579604148864746,200.0,200.0,3,0.18442339897155763,200.0
baseline,Octahedron.col,7,0.0015761423110961913,0.1653742790222168,200.0,200.0,3,0.18442339897155763,200.0
baseline,Octahedron.col,8,0.0019571065902709963,0.20374131202697754,200.0,200.0,3,0.18442339897155763,200.0
baseline,Octahedron.col,9,0.0015658092498779296,0.16756129264831543,200.0,200.0,3,0.18442339897155763,200.0
baseline,Octahedron.col,10,0.0017052388191223144,0.1800844669342041,200.0,200.0,3,0.18442339897155763,200.0
