Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,Square.col,1,0.0010459208488464355,0.10759091377258301,200.0,200.0,2,0.11081495285034179,200.0
baseline,Square.col,2,0.0012419319152832031,0.12619256973266602,200.0,200.0,2,0.11081495285034179,200.0
baseline,Square.col,3,0.0011279511451721192,0.11583924293518066,200.0,200.0,2,0.11081495285034179,200.0
baseline,Square.col,4,0.001046454906463623,0.10861063003540039,200.0,200.0,2,0.11081495285034179,200.0
baseline,Square.col,5,0.0010480880737304688,0.10731935501098633,200.0,200.0,2,0.11081495285034179,200.0
baseline,Square.col,6,0.0010805463790893555,0.10905265808105469,200.0,200.0,2,0.11081495285034179,200.0
baseline,Square.col,7,0.001081693172454834,0.10916948318481445,200.0,200.0,2,0.11081495285034179,200.0
baseline,Square.col,8,0.0010242700576782227,0.10642433166503906,200.0,200.0,2,0.11081495285034179,200.0
baseline,Square.col,9,0.0010530519485473632,0.10876965522766113,200.0,200.0,2,0.11081495285034179,200.0
baseline,Square.col,10,0.0010625529289245606,0.10918068885803223,200.0,200.0,2,0.11081495285034179,200.0
