Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,Triangle.col,1,0.0009358716011047363,0.09560561180114746,150.0,150.0,2,0.09646081924438477,150.0
baseline,Triangle.col,2,0.0009194684028625489,0.09491610527038574,150.0,150.0,2,0.09646081924438477,150.0
baseline,Triangle.col,3,0.0009729123115539551,0.09829092025756836,150.0,150.0,2,0.09646081924438477,150.0
baseline,Triangle.col,4,0.000931401252746582,0.09514021873474121,150.0,150.0,2,0.09646081924438477,150.0
baseline,Triangle.col,5,0.0009851574897766114,0.10251617431640625,150.0,150.0,2,0.09646081924438477,150.0
baseline,Triangle.col,6,0.0009313273429870605,0.09613275527954102,150.0,150.0,2,0.09646081924438477,150.0
baseline,Triangle.col,7,0.0009154725074768066,0.09454727172851562,150.0,150.0,2,0.09646081924438477,150.0
baseline,Triangle.col,8,0.0009559202194213867,0.09759330749511719,150.0,150.0,2,0.09646081924438477,150.0
baseline,Triangle.col,9,0.000915992259979248,0.09359884262084961,150.0,150.0,2,0.09646081924438477,150.0
baseline,Triangle.col,10,0.000942695140838623,0.0962669849395752,150.0,150.0,2,0.09646081924438477,150.0
