Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,Wheel6Graph.col,1,0.0013193917274475098,0.13593769073486328,150.0,150.0,4,0.13804030418395996,147.0
baseline,Wheel6Graph.col,2,0.0013163471221923828,0.13764047622680664,150.0,150.0,4,0.13804030418395996,147.0
baseline,Wheel6Graph.col,3,0.0013253045082092284,0.1375293731689453,150.0,150.0,4,0.13804030418395996,147.0
baseline,Wheel6Graph.col,4,0.0013037490844726562,0.1389293670654297,150.0,150.0,4,0.13804030418395996,147.0
baseline,Wheel6Graph.col,5,0.0013617181777954102,0.14316701889038086,150.0,150.0,4,0.13804030418395996,147.0
baseline,Wheel6Graph.col,6,0.0014107990264892577,0.14610886573791504,150.0,150.0,4,0.13804030418395996,147.0
baseline,Wheel6Graph.col,7,0.001281764507293701,0.13518118858337402,120.0,120.0,5,0.13804030418395996,147.0
baseline,Wheel6Graph.col,8,0.0013415741920471192,0.13815855979919434,150.0,150.0,4,0.13804030418395996,147.0
baseline,Wheel6Graph.col,9,0.001281580924987793,0.13615632057189941,150.0,150.0,4,0.13804030418395996,147.0
baseline,Wheel6Graph.col,10,0.001275947093963623,0.13159418106079102,150.0,150.0,4,0.13804030418395996,147.0
