Experiment,Graph,Avg_Generation_Time,Total_Run_Time,Final_Fitness_Value,Best_Fitness_Value,Avg_Number_of_Colors_Used,Avg_Total_Time,Avg_Fitness,Fitness_Std
baseline,BullGraph.col,0.00120325756072991,0.12318325042724605,125.0,125.0,4.0,0.1231832504272461,125.0,0.0
baseline,ButterflyGraph.col,0.00122833895683283,0.12603733539581294,166.66666666666666,166.66666666666666,3.0,0.126037335395813,166.66666666666669,0.0
baseline,CubeGraph.col,0.00150054597854609,0.15585818290710446,172.0,172.0,4.7,0.1558581829071045,172.0,19.321835661585926
baseline,Cycle3.col,0.00094822335243219,0.0981246948242187,150.0,150.0,2.0,0.0981246948242187,150.0,0.0
baseline,Cycle4.col,0.00109138250350948,0.11210668087005611,200.0,200.0,2.0,0.11210668087005611,200.0,0.0
baseline,Cycle5.col,0.00120019435882564,0.12367644309997554,191.66666666666666,191.66666666666666,2.7,0.1236764430999755,191.66666666666669,40.25382429497066
baseline,DiamondGraph.col,0.0010584709644317,0.10894162654876705,200.0,200.0,2.0,0.108941626548767,200.0,0.0
baseline,GrötzschGraph.col,0.00225064516067499,0.23541698455810542,184.38095238095235,184.38095238095235,6.0,0.2354169845581054,184.38095238095235,14.979283586336472
baseline,K4Graph.col,0.00104992866516107,0.11034941673278804,133.33333333333334,133.33333333333334,3.0,0.110349416732788,133.33333333333331,0.0
baseline,K5Graph.col,0.00129284572601313,0.144504165649414,125.0,125.0,4.0,0.144504165649414,125.0,0.0
baseline,LetterA.col,0.00121143674850458,0.12419972419738765,166.66666666666666,166.66666666666666,3.0,0.1241997241973877,166.66666666666669,0.0
baseline,LetterB.col,0.0013888092041015,0.14203119277954096,260.0,260.0,2.4,0.142031192779541,260.0,51.63977794943222
baseline,LetterC.col,0.00108273696899409,0.10993001461029048,200.0,200.0,2.0,0.1099300146102905,200.0,0.0
baseline,LetterD.col,0.00137504076957698,0.14087574481964107,200.0,200.0,2.0,0.1408757448196411,200.0,0.0
baseline,LetterE.col,0.00132968211174006,0.1359326601028442,250.0,250.0,2.5,0.1359326601028442,250.0,52.70462766947299
baseline,LetterF.col,0.00121131730079647,0.12358980178833004,233.33333333333334,233.33333333333334,2.2,0.12358980178832998,233.33333333333331,35.13641844631533
baseline,MoserSpindle.col,0.0019013845920562201,0.198733115196228,198.33333333333331,198.33333333333331,3.6,0.198733115196228,198.3333333333333,30.12320380383546
baseline,Octahedron.col,0.00174402976036067,0.18442339897155763,200.0,200.0,3.0,0.1844233989715576,200.0,0.0
baseline,PetersenGraph.col,0.00215370059013363,0.2231805562973022,183.33333333333331,183.33333333333331,5.5,0.2231805562973022,183.33333333333331,17.56820922315767
baseline,Square.col,0.0010812461376189801,0.11081495285034175,200.0,200.0,2.0,0.11081495285034168,200.0,0.0
baseline,Triangle.col,0.0009406218528747101,0.09646081924438474,150.0,150.0,2.0,0.0964608192443847,150.0,0.0
baseline,Wheel6Graph.col,0.0013218176364898301,0.13804030418395993,147.0,147.0,4.1,0.1380403041839599,147.0,9.48683298050514
baseline,example_graph,0.00139647603034968,0.14244565963745115,188.0,188.0,4.3,0.1424456596374511,188.0,19.321835661585922
Overall,Overall,0.001346179692641497,0.13951550981272817,183.6832298136646,183.6832298136646,3.130434782608696,0.1395155098127282,183.6832298136646,12.631993446834686
