Experiment,Graph,Avg_Generation_Time,Total_Run_Time,Final_Fitness_Value,Best_Fitness_Value,Avg_Number_of_Colors_Used,Avg_Total_Time,Avg_Fitness,Fitness_Std
baseline,BullGraph.col,0.0011393411159515,0.11691184043884273,125.0,125.0,4.0,0.1169118404388427,125.0,0.0
baseline,ButterflyGraph.col,0.00129927849769587,0.13433444499969477,166.66666666666666,166.66666666666666,3.0,0.1343344449996948,166.66666666666669,0.0
baseline,CubeGraph.col,0.0015215556621550898,0.1576212882995605,190.66666666666669,190.66666666666669,4.3,0.1576212882995605,190.66666666666669,33.288859219687126
baseline,Cycle3.col,0.00093074822425837,0.09577405452728269,150.0,150.0,2.0,0.0957740545272827,150.0,0.0
baseline,Cycle4.col,0.00105814552307123,0.1086342334747314,200.0,200.0,2.0,0.1086342334747314,200.0,0.0
baseline,Cycle5.col,0.00119359374046322,0.12256073951721189,191.66666666666666,191.66666666666666,2.7,0.12256073951721189,191.66666666666669,40.25382429497067
baseline,DiamondGraph.col,0.00102059936523432,0.10511200428009027,186.66666666666669,186.66666666666669,2.2,0.1051120042800903,186.66666666666669,28.10913475705226
baseline,GrötzschGraph.col,0.0022280545234679696,0.23279957771301268,181.76190476190476,181.76190476190476,6.1,0.2327995777130126,181.7619047619048,17.293648972515328
baseline,K4Graph.col,0.00100159883499141,0.10569126605987544,133.33333333333334,133.33333333333334,3.0,0.1056912660598754,133.33333333333331,0.0
baseline,K5Graph.col,0.0011953496932983001,0.13370428085327143,125.0,125.0,4.0,0.1337042808532715,125.0,0.0
baseline,LetterA.col,0.00121010422706598,0.12401342391967769,166.66666666666666,166.66666666666666,3.0,0.1240134239196777,166.66666666666669,0.0
baseline,LetterB.col,0.00150994515419003,0.1550897121429443,220.0,220.0,2.8,0.1550897121429443,220.0,42.16370213557839
baseline,LetterC.col,0.00113123035430901,0.115090537071228,200.0,200.0,2.0,0.115090537071228,200.0,0.0
baseline,LetterD.col,0.00109004569053645,0.11204881668090816,200.0,200.0,2.0,0.1120488166809082,200.0,0.0
baseline,LetterE.col,0.0012945461273193,0.1321574449539184,250.0,250.0,2.5,0.1321574449539184,250.0,52.70462766947299
baseline,LetterF.col,0.00116555809974665,0.11875445842742915,241.66666666666666,241.66666666666666,2.1,0.1187544584274292,241.6666666666666,26.352313834736503
baseline,MoserSpindle.col,0.0014808921813964401,0.153484296798706,186.66666666666666,186.66666666666666,3.8,0.153484296798706,186.66666666666669,24.595492912420717
baseline,Octahedron.col,0.00150471925735469,0.15912966728210445,200.0,200.0,3.0,0.1591296672821044,200.0,0.0
baseline,PetersenGraph.col,0.0017746965885161799,0.18408246040344234,183.33333333333331,183.33333333333331,5.5,0.1840824604034424,183.3333333333333,17.568209223157666
baseline,Square.col,0.00123170876502986,0.1263821125030517,200.0,200.0,2.0,0.1263821125030517,200.0,0.0
baseline,Triangle.col,0.0009728648662566701,0.09985496997833246,150.0,150.0,2.0,0.0998549699783325,150.0,0.0
baseline,Wheel6Graph.col,0.00131555485725398,0.13855803012847895,150.0,150.0,4.0,0.138558030128479,150.0,0.0
baseline,example_graph,0.00136329054832454,0.13948771953582761,198.66666666666669,198.66666666666669,4.1,0.1394877195358276,198.66666666666669,29.110262922333902
Overall,Overall,0.0012884096477342201,0.13353379912998362,182.51138716356107,182.51138716356107,3.134782608695652,0.13353379912998364,182.5113871635611,13.54087286704024
