Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
crossover_prob_0.6,LetterE.col,1,0.0012651371955871582,0.12851309776306152,200.0,200.0,3,0.12989416122436523,230.0
crossover_prob_0.6,LetterE.col,2,0.0011769008636474609,0.12169265747070312,200.0,200.0,3,0.12989416122436523,230.0
crossover_prob_0.6,LetterE.col,3,0.0012415647506713867,0.12808728218078613,300.0,300.0,2,0.12989416122436523,230.0
crossover_prob_0.6,LetterE.col,4,0.0012694597244262695,0.12990498542785645,200.0,200.0,3,0.12989416122436523,230.0
crossover_prob_0.6,LetterE.col,5,0.0012711405754089356,0.12911415100097656,200.0,200.0,3,0.12989416122436523,230.0
crossover_prob_0.6,LetterE.col,6,0.0013925600051879882,0.14129090309143066,200.0,200.0,3,0.12989416122436523,230.0
crossover_prob_0.6,LetterE.col,7,0.001261591911315918,0.1301565170288086,300.0,300.0,2,0.12989416122436523,230.0
crossover_prob_0.6,LetterE.col,8,0.0011832904815673828,0.12132644653320312,200.0,200.0,3,0.12989416122436523,230.0
crossover_prob_0.6,LetterE.col,9,0.001321570873260498,0.13515591621398926,300.0,300.0,2,0.12989416122436523,230.0
crossover_prob_0.6,LetterE.col,10,0.0013116121292114258,0.13369965553283691,200.0,200.0,3,0.12989416122436523,230.0
