Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
crossover_prob_0.9,Octahedron.col,1,0.00146806001663208,0.1548011302947998,200.0,200.0,3,0.16170251369476318,190.0
crossover_prob_0.9,Octahedron.col,2,0.0014359068870544434,0.15474224090576172,200.0,200.0,3,0.16170251369476318,190.0
crossover_prob_0.9,Octahedron.col,3,0.0015702319145202636,0.16602826118469238,150.0,150.0,4,0.16170251369476318,190.0
crossover_prob_0.9,Octahedron.col,4,0.0015467381477355957,0.16766977310180664,200.0,200.0,3,0.16170251369476318,190.0
crossover_prob_0.9,Octahedron.col,5,0.0015439939498901366,0.1620626449584961,200.0,200.0,3,0.16170251369476318,190.0
crossover_prob_0.9,Octahedron.col,6,0.0015811991691589355,0.1661231517791748,200.0,200.0,3,0.16170251369476318,190.0
crossover_prob_0.9,Octahedron.col,7,0.0015231657028198242,0.1602766513824463,200.0,200.0,3,0.16170251369476318,190.0
crossover_prob_0.9,Octahedron.col,8,0.0015692687034606933,0.16489076614379883,200.0,200.0,3,0.16170251369476318,190.0
crossover_prob_0.9,Octahedron.col,9,0.0013810920715332032,0.14715051651000977,150.0,150.0,4,0.16170251369476318,190.0
crossover_prob_0.9,Octahedron.col,10,0.0016424179077148438,0.1732800006866455,200.0,200.0,3,0.16170251369476318,190.0
