Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
max_no_improvement_generations_100,LetterD.col,1,0.001980578899383545,0.2010667324066162,200.0,200.0,2,0.27335705757141116,200.0
max_no_improvement_generations_100,LetterD.col,2,0.0018985724449157714,0.19216084480285645,200.0,200.0,2,0.27335705757141116,200.0
max_no_improvement_generations_100,LetterD.col,3,0.0017359304428100587,0.1812300682067871,200.0,200.0,2,0.27335705757141116,200.0
max_no_improvement_generations_100,LetterD.col,4,0.00195328950881958,0.19889497756958008,200.0,200.0,2,0.27335705757141116,200.0
max_no_improvement_generations_100,LetterD.col,5,0.002203986644744873,0.2239527702331543,200.0,200.0,2,0.27335705757141116,200.0
max_no_improvement_generations_100,LetterD.col,6,0.0033500075340270998,0.3443641662597656,200.0,200.0,2,0.27335705757141116,200.0
max_no_improvement_generations_100,LetterD.col,7,0.0038835740089416503,0.39946484565734863,200.0,200.0,2,0.27335705757141116,200.0
max_no_improvement_generations_100,LetterD.col,8,0.0030353474617004395,0.3144650459289551,200.0,200.0,2,0.27335705757141116,200.0
max_no_improvement_generations_100,LetterD.col,9,0.0035172605514526365,0.3627772331237793,200.0,200.0,2,0.27335705757141116,200.0
max_no_improvement_generations_100,LetterD.col,10,0.003089756965637207,0.31519389152526855,200.0,200.0,2,0.27335705757141116,200.0
