Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
max_no_improvement_generations_100,example_graph,1,0.0042979693412780766,0.4446074962615967,200.0,200.0,4,0.36550135612487794,188.0
max_no_improvement_generations_100,example_graph,2,0.0036086416244506835,0.36802220344543457,200.0,200.0,4,0.36550135612487794,188.0
max_no_improvement_generations_100,example_graph,3,0.003515322208404541,0.357541561126709,200.0,200.0,4,0.36550135612487794,188.0
max_no_improvement_generations_100,example_graph,4,0.004133846759796143,0.42283034324645996,160.0,160.0,5,0.36550135612487794,188.0
max_no_improvement_generations_100,example_graph,5,0.004315311908721924,0.4406778812408447,200.0,200.0,4,0.36550135612487794,188.0
max_no_improvement_generations_100,example_graph,6,0.003166794776916504,0.321242094039917,200.0,200.0,4,0.36550135612487794,188.0
max_no_improvement_generations_100,example_graph,7,0.004749813079833984,0.4878697395324707,160.0,160.0,5,0.36550135612487794,188.0
max_no_improvement_generations_100,example_graph,8,0.0038026857376098635,0.39429759979248047,200.0,200.0,4,0.36550135612487794,188.0
max_no_improvement_generations_100,example_graph,9,0.0021739912033081053,0.22345232963562012,200.0,200.0,4,0.36550135612487794,188.0
max_no_improvement_generations_100,example_graph,10,0.0018939948081970214,0.1944723129272461,160.0,160.0,5,0.36550135612487794,188.0
