Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
max_no_improvement_generations_200,GrötzschGraph.col,1,0.008870186805725098,0.9276158809661865,220.0,220.0,5,0.9926155090332032,189.09523809523807
max_no_improvement_generations_200,GrötzschGraph.col,2,0.00899930477142334,0.9223287105560303,220.0,220.0,5,0.9926155090332032,189.09523809523807
max_no_improvement_generations_200,GrötzschGraph.col,3,0.012283663749694824,1.2666728496551514,183.33333333333334,183.33333333333334,6,0.9926155090332032,189.09523809523807
max_no_improvement_generations_200,GrötzschGraph.col,4,0.011780269145965576,1.2186734676361084,183.33333333333334,183.33333333333334,6,0.9926155090332032,189.09523809523807
max_no_improvement_generations_200,GrötzschGraph.col,5,0.010543925762176514,1.1342990398406982,183.33333333333334,183.33333333333334,6,0.9926155090332032,189.09523809523807
max_no_improvement_generations_200,GrötzschGraph.col,6,0.009731743335723877,1.0239624977111816,220.0,220.0,5,0.9926155090332032,189.09523809523807
max_no_improvement_generations_200,GrötzschGraph.col,7,0.008773877620697021,0.9085328578948975,157.14285714285714,157.14285714285714,7,0.9926155090332032,189.09523809523807
max_no_improvement_generations_200,GrötzschGraph.col,8,0.008106024265289306,0.8368320465087891,157.14285714285714,157.14285714285714,7,0.9926155090332032,189.09523809523807
max_no_improvement_generations_200,GrötzschGraph.col,9,0.007941620349884033,0.8293349742889404,183.33333333333334,183.33333333333334,6,0.9926155090332032,189.09523809523807
max_no_improvement_generations_200,GrötzschGraph.col,10,0.008272457122802734,0.8579027652740479,183.33333333333334,183.33333333333334,6,0.9926155090332032,189.09523809523807
