Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
max_no_improvement_generations_200,LetterE.col,1,0.006830570697784424,0.6980125904083252,300.0,300.0,2,0.6168306350708008,245.0
max_no_improvement_generations_200,LetterE.col,2,0.007142941951751709,0.7368035316467285,300.0,300.0,2,0.6168306350708008,245.0
max_no_improvement_generations_200,LetterE.col,3,0.006777536869049072,0.6905455589294434,200.0,200.0,3,0.6168306350708008,245.0
max_no_improvement_generations_200,LetterE.col,4,0.0059913253784179684,0.6213304996490479,300.0,300.0,2,0.6168306350708008,245.0
max_no_improvement_generations_200,LetterE.col,5,0.00571920394897461,0.5893030166625977,200.0,200.0,3,0.6168306350708008,245.0
max_no_improvement_generations_200,LetterE.col,6,0.0049910140037536625,0.5108561515808105,150.0,150.0,4,0.6168306350708008,245.0
max_no_improvement_generations_200,LetterE.col,7,0.00702002763748169,0.7110435962677002,200.0,200.0,3,0.6168306350708008,245.0
max_no_improvement_generations_200,LetterE.col,8,0.006131823062896728,0.6292593479156494,300.0,300.0,2,0.6168306350708008,245.0
max_no_improvement_generations_200,LetterE.col,9,0.005077619552612305,0.5251333713531494,200.0,200.0,3,0.6168306350708008,245.0
max_no_improvement_generations_200,LetterE.col,10,0.004450352191925049,0.45601868629455566,300.0,300.0,2,0.6168306350708008,245.0
