Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
max_no_improvement_generations_200,MoserSpindle.col,1,0.013466401100158691,1.3910884857177734,175.0,175.0,4,0.8127326726913452,186.66666666666669
max_no_improvement_generations_200,MoserSpindle.col,2,0.014081873893737794,1.464677333831787,175.0,175.0,4,0.8127326726913452,186.66666666666669
max_no_improvement_generations_200,MoserSpindle.col,3,0.007048971652984619,0.7281804084777832,175.0,175.0,4,0.8127326726913452,186.66666666666669
max_no_improvement_generations_200,MoserSpindle.col,4,0.004431090354919434,0.45648980140686035,233.33333333333334,233.33333333333334,3,0.8127326726913452,186.66666666666669
max_no_improvement_generations_200,MoserSpindle.col,5,0.006065425872802735,0.6280097961425781,175.0,175.0,4,0.8127326726913452,186.66666666666669
max_no_improvement_generations_200,MoserSpindle.col,6,0.005960760116577149,0.6136741638183594,175.0,175.0,4,0.8127326726913452,186.66666666666669
max_no_improvement_generations_200,MoserSpindle.col,7,0.009034028053283691,0.9286527633666992,175.0,175.0,4,0.8127326726913452,186.66666666666669
max_no_improvement_generations_200,MoserSpindle.col,8,0.008687481880187989,0.9099822044372559,175.0,175.0,4,0.8127326726913452,186.66666666666669
max_no_improvement_generations_200,MoserSpindle.col,9,0.0051241135597229,0.5640990734100342,175.0,175.0,4,0.8127326726913452,186.66666666666669
max_no_improvement_generations_200,MoserSpindle.col,10,0.004324727058410645,0.4424726963043213,233.33333333333334,233.33333333333334,3,0.8127326726913452,186.66666666666669
