Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
max_no_improvement_generations_200,Wheel6Graph.col,1,0.005114986896514893,0.5352134704589844,150.0,150.0,4,0.48117289543151853,150.0
max_no_improvement_generations_200,Wheel6Graph.col,2,0.005125179290771485,0.5510299205780029,150.0,150.0,4,0.48117289543151853,150.0
max_no_improvement_generations_200,Wheel6Graph.col,3,0.004452829360961914,0.4693465232849121,150.0,150.0,4,0.48117289543151853,150.0
max_no_improvement_generations_200,Wheel6Graph.col,4,0.004278903007507324,0.4433925151824951,150.0,150.0,4,0.48117289543151853,150.0
max_no_improvement_generations_200,Wheel6Graph.col,5,0.004451706409454346,0.46017932891845703,150.0,150.0,4,0.48117289543151853,150.0
max_no_improvement_generations_200,Wheel6Graph.col,6,0.004728996753692627,0.4879016876220703,150.0,150.0,4,0.48117289543151853,150.0
max_no_improvement_generations_200,Wheel6Graph.col,7,0.004455699920654297,0.4659290313720703,150.0,150.0,4,0.48117289543151853,150.0
max_no_improvement_generations_200,Wheel6Graph.col,8,0.004256837368011475,0.44484972953796387,150.0,150.0,4,0.48117289543151853,150.0
max_no_improvement_generations_200,Wheel6Graph.col,9,0.004751627445220947,0.4971909523010254,150.0,150.0,4,0.48117289543151853,150.0
max_no_improvement_generations_200,Wheel6Graph.col,10,0.004359605312347412,0.4566957950592041,150.0,150.0,4,0.48117289543151853,150.0
