Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
max_no_improvement_generations_50,DiamondGraph.col,1,0.00380338191986084,0.391406774520874,200.0,200.0,2,0.37978525161743165,200.0
max_no_improvement_generations_50,DiamondGraph.col,2,0.004119579792022705,0.41997385025024414,200.0,200.0,2,0.37978525161743165,200.0
max_no_improvement_generations_50,DiamondGraph.col,3,0.004068586826324463,0.41287660598754883,200.0,200.0,2,0.37978525161743165,200.0
max_no_improvement_generations_50,DiamondGraph.col,4,0.00379213809967041,0.3857297897338867,200.0,200.0,2,0.37978525161743165,200.0
max_no_improvement_generations_50,DiamondGraph.col,5,0.0033962631225585935,0.3506588935852051,200.0,200.0,2,0.37978525161743165,200.0
max_no_improvement_generations_50,DiamondGraph.col,6,0.00395073413848877,0.4072608947753906,200.0,200.0,2,0.37978525161743165,200.0
max_no_improvement_generations_50,DiamondGraph.col,7,0.00372816801071167,0.38796114921569824,200.0,200.0,2,0.37978525161743165,200.0
max_no_improvement_generations_50,DiamondGraph.col,8,0.003882815837860107,0.39628148078918457,200.0,200.0,2,0.37978525161743165,200.0
max_no_improvement_generations_50,DiamondGraph.col,9,0.003909673690795899,0.40166807174682617,200.0,200.0,2,0.37978525161743165,200.0
max_no_improvement_generations_50,DiamondGraph.col,10,0.0022836899757385253,0.244035005569458,200.0,200.0,2,0.37978525161743165,200.0
