Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
max_no_improvement_generations_50,LetterB.col,1,0.005026750564575196,0.5102286338806152,200.0,200.0,3,0.48681116104125977,220.0
max_no_improvement_generations_50,LetterB.col,2,0.004715445041656494,0.47867608070373535,200.0,200.0,3,0.48681116104125977,220.0
max_no_improvement_generations_50,LetterB.col,3,0.004612042903900147,0.4743614196777344,200.0,200.0,3,0.48681116104125977,220.0
max_no_improvement_generations_50,LetterB.col,4,0.004763247966766357,0.4925534725189209,300.0,300.0,2,0.48681116104125977,220.0
max_no_improvement_generations_50,LetterB.col,5,0.004868671894073486,0.4960141181945801,200.0,200.0,3,0.48681116104125977,220.0
max_no_improvement_generations_50,LetterB.col,6,0.004805798530578613,0.4905850887298584,200.0,200.0,3,0.48681116104125977,220.0
max_no_improvement_generations_50,LetterB.col,7,0.004725685119628906,0.48818278312683105,200.0,200.0,3,0.48681116104125977,220.0
max_no_improvement_generations_50,LetterB.col,8,0.004490885734558105,0.45888781547546387,200.0,200.0,3,0.48681116104125977,220.0
max_no_improvement_generations_50,LetterB.col,9,0.005079722404479981,0.5171294212341309,200.0,200.0,3,0.48681116104125977,220.0
max_no_improvement_generations_50,LetterB.col,10,0.004493169784545899,0.46149277687072754,300.0,300.0,2,0.48681116104125977,220.0
