Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
max_no_improvement_generations_50,LetterF.col,1,0.0018598270416259766,0.18973088264465332,250.0,250.0,2,0.20957534313201903,241.66666666666666
max_no_improvement_generations_50,LetterF.col,2,0.0028336763381958006,0.288729190826416,166.66666666666666,166.66666666666666,3,0.20957534313201903,241.66666666666666
max_no_improvement_generations_50,LetterF.col,3,0.0018454265594482421,0.1887972354888916,250.0,250.0,2,0.20957534313201903,241.66666666666666
max_no_improvement_generations_50,LetterF.col,4,0.0020285630226135254,0.20619702339172363,250.0,250.0,2,0.20957534313201903,241.66666666666666
max_no_improvement_generations_50,LetterF.col,5,0.002491011619567871,0.2537224292755127,250.0,250.0,2,0.20957534313201903,241.66666666666666
max_no_improvement_generations_50,LetterF.col,6,0.0016966962814331055,0.17466950416564941,250.0,250.0,2,0.20957534313201903,241.66666666666666
max_no_improvement_generations_50,LetterF.col,7,0.0016936206817626954,0.1743631362915039,250.0,250.0,2,0.20957534313201903,241.66666666666666
max_no_improvement_generations_50,LetterF.col,8,0.0017860054969787598,0.1816389560699463,250.0,250.0,2,0.20957534313201903,241.66666666666666
max_no_improvement_generations_50,LetterF.col,9,0.0021204304695129393,0.21497845649719238,250.0,250.0,2,0.20957534313201903,241.66666666666666
max_no_improvement_generations_50,LetterF.col,10,0.00218928337097168,0.22292661666870117,250.0,250.0,2,0.20957534313201903,241.66666666666666
