Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
max_no_improvement_generations_50,Octahedron.col,1,0.0059228348731994625,0.6277050971984863,200.0,200.0,3,0.35340378284454343,195.0
max_no_improvement_generations_50,Octahedron.col,2,0.003988883495330811,0.418790340423584,200.0,200.0,3,0.35340378284454343,195.0
max_no_improvement_generations_50,Octahedron.col,3,0.0044258999824523925,0.46952247619628906,150.0,150.0,4,0.35340378284454343,195.0
max_no_improvement_generations_50,Octahedron.col,4,0.00415177583694458,0.43654537200927734,200.0,200.0,3,0.35340378284454343,195.0
max_no_improvement_generations_50,Octahedron.col,5,0.002091100215911865,0.22247695922851562,200.0,200.0,3,0.35340378284454343,195.0
max_no_improvement_generations_50,Octahedron.col,6,0.003028695583343506,0.31868886947631836,200.0,200.0,3,0.35340378284454343,195.0
max_no_improvement_generations_50,Octahedron.col,7,0.00237823486328125,0.24911785125732422,200.0,200.0,3,0.35340378284454343,195.0
max_no_improvement_generations_50,Octahedron.col,8,0.0023514485359191896,0.24442052841186523,200.0,200.0,3,0.35340378284454343,195.0
max_no_improvement_generations_50,Octahedron.col,9,0.0028161311149597166,0.29764533042907715,200.0,200.0,3,0.35340378284454343,195.0
max_no_improvement_generations_50,Octahedron.col,10,0.0023711562156677247,0.24912500381469727,200.0,200.0,3,0.35340378284454343,195.0
