Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
max_no_improvement_generations_50,Square.col,1,0.004144401550292969,0.42041015625,200.0,200.0,2,0.3912216663360596,200.0
max_no_improvement_generations_50,Square.col,2,0.0038983869552612306,0.3999135494232178,200.0,200.0,2,0.3912216663360596,200.0
max_no_improvement_generations_50,Square.col,3,0.003618509769439697,0.3746509552001953,200.0,200.0,2,0.3912216663360596,200.0
max_no_improvement_generations_50,Square.col,4,0.003416564464569092,0.3522188663482666,200.0,200.0,2,0.3912216663360596,200.0
max_no_improvement_generations_50,Square.col,5,0.0038548016548156736,0.3939852714538574,200.0,200.0,2,0.3912216663360596,200.0
max_no_improvement_generations_50,Square.col,6,0.003943312168121338,0.39951348304748535,200.0,200.0,2,0.3912216663360596,200.0
max_no_improvement_generations_50,Square.col,7,0.004959495067596436,0.5052549839019775,200.0,200.0,2,0.3912216663360596,200.0
max_no_improvement_generations_50,Square.col,8,0.004052891731262207,0.40924668312072754,200.0,200.0,2,0.3912216663360596,200.0
max_no_improvement_generations_50,Square.col,9,0.0034233570098876954,0.35337328910827637,200.0,200.0,2,0.3912216663360596,200.0
max_no_improvement_generations_50,Square.col,10,0.0029640674591064455,0.3036494255065918,200.0,200.0,2,0.3912216663360596,200.0
